PrimaryKey,LineKey,cover_type,percent
301C_2021,301C_15_2021,PF_I,NA
301C_2021,301C_15_2021,GAP,25
301C_2021,301C_2_2021,AF_I,1.666666667
301C_2021,301C_2_2021,AF_N,0
301C_2021,301C_2_2021,AG_I,1.666666667
301C_2021,301C_2_2021,PF_N,13.33333333
301C_2021,301C_2_2021,PG_I,1.666666667
301C_2021,301C_2_2021,PG_N,28.33333333
301C_2021,301C_2_2021,SH_N,13.33333333
301C_2021,301C_2_2021,PF_I,NA
301C_2021,301C_2_2021,GAP,48.33333333
301C_2021,301C_28_2021,AF_I,0
301C_2021,301C_28_2021,AF_N,0
301C_2021,301C_28_2021,AG_I,1.666666667
301C_2021,301C_28_2021,PF_N,16.66666667
301C_2021,301C_28_2021,PG_I,0
301C_2021,301C_28_2021,PG_N,36.66666667
301C_2021,301C_28_2021,SH_N,21.66666667
301C_2021,301C_28_2021,PF_I,NA
301C_2021,301C_28_2021,GAP,33.33333333
301T_2021,301T_15_2021,AF_I,0
301T_2021,301T_15_2021,AF_N,0
301T_2021,301T_15_2021,AG_I,0
301T_2021,301T_15_2021,PF_N,10
301T_2021,301T_15_2021,PG_I,0
301T_2021,301T_15_2021,PG_N,43.33333333
301T_2021,301T_15_2021,SH_N,8.333333333
301T_2021,301T_15_2021,PF_I,NA
301T_2021,301T_15_2021,GAP,48.33333333
301T_2021,301T_2_2021,AF_I,0
301T_2021,301T_2_2021,AF_N,1.666666667
301T_2021,301T_2_2021,AG_I,6.666666667
301T_2021,301T_2_2021,PF_N,6.666666667
301T_2021,301T_2_2021,PG_I,0
301T_2021,301T_2_2021,PG_N,35
301T_2021,301T_2_2021,SH_N,8.333333333
301T_2021,301T_2_2021,PF_I,NA
301T_2021,301T_2_2021,GAP,46.66666667
301T_2021,301T_28_2021,AF_I,0
301T_2021,301T_28_2021,AF_N,0
301T_2021,301T_28_2021,AG_I,5
301T_2021,301T_28_2021,PF_N,8.333333333
301T_2021,301T_28_2021,PG_I,0
301T_2021,301T_28_2021,PG_N,48.33333333
301T_2021,301T_28_2021,SH_N,28.33333333
301T_2021,301T_28_2021,PF_I,NA
301T_2021,301T_28_2021,GAP,23.33333333
302C_2021,302C_15_2021,AF_I,0
302C_2021,302C_15_2021,AF_N,0
302C_2021,302C_15_2021,AG_I,21.66666667
302C_2021,302C_15_2021,PF_N,36.66666667
302C_2021,302C_15_2021,PG_I,0
302C_2021,302C_15_2021,PG_N,35
302C_2021,302C_15_2021,SH_N,6.666666667
302C_2021,302C_15_2021,PF_I,NA
302C_2021,302C_15_2021,GAP,21.66666667
302C_2021,302C_2_2021,AF_I,0
302C_2021,302C_2_2021,AF_N,0
302C_2021,302C_2_2021,AG_I,0
302C_2021,302C_2_2021,PF_N,30
302C_2021,302C_2_2021,PG_I,0
302C_2021,302C_2_2021,PG_N,40
302C_2021,302C_2_2021,SH_N,11.66666667
302C_2021,302C_2_2021,PF_I,NA
302C_2021,302C_2_2021,GAP,33.33333333
302C_2021,302C_28_2021,AF_I,0
302C_2021,302C_28_2021,AF_N,0
302C_2021,302C_28_2021,AG_I,18.33333333
302C_2021,302C_28_2021,PF_N,26.66666667
302C_2021,302C_28_2021,PG_I,0
302C_2021,302C_28_2021,PG_N,23.33333333
302C_2021,302C_28_2021,SH_N,16.66666667
302C_2021,302C_28_2021,PF_I,NA
302C_2021,302C_28_2021,GAP,35
302T_2021,302T_15_2021,AF_I,3.333333333
302T_2021,302T_15_2021,AF_N,1.666666667
302T_2021,302T_15_2021,AG_I,0
302T_2021,302T_15_2021,PF_N,20
302T_2021,302T_15_2021,PG_I,0
302T_2021,302T_15_2021,PG_N,36.66666667
302T_2021,302T_15_2021,SH_N,8.333333333
302T_2021,302T_15_2021,PF_I,NA
302T_2021,302T_15_2021,GAP,33.33333333
302T_2021,302T_2_2021,AF_I,0
302T_2021,302T_2_2021,AF_N,6.666666667
302T_2021,302T_2_2021,AG_I,6.666666667
302T_2021,302T_2_2021,PF_N,10
302T_2021,302T_2_2021,PG_I,0
302T_2021,302T_2_2021,PG_N,40
302T_2021,302T_2_2021,SH_N,30
302T_2021,302T_2_2021,PF_I,NA
302T_2021,302T_2_2021,GAP,21.66666667
302T_2021,302T_28_2021,AF_I,1.666666667
302T_2021,302T_28_2021,AF_N,0
302T_2021,302T_28_2021,AG_I,3.333333333
302T_2021,302T_28_2021,PF_N,20
302T_2021,302T_28_2021,PG_I,0
302T_2021,302T_28_2021,PG_N,31.66666667
302T_2021,302T_28_2021,SH_N,18.33333333
302T_2021,302T_28_2021,PF_I,NA
302T_2021,302T_28_2021,GAP,40
303C_2021,303C_15_2021,AF_I,0
303C_2021,303C_15_2021,AF_N,0
303C_2021,303C_15_2021,AG_I,10
303C_2021,303C_15_2021,PF_N,23.33333333
303C_2021,303C_15_2021,PG_I,0
303C_2021,303C_15_2021,PG_N,33.33333333
303C_2021,303C_15_2021,SH_N,28.33333333
303C_2021,303C_15_2021,PF_I,NA
